"Item","UPC","Image URL","Apply?","Portal","Brand","Description"
"35867","051933358676","images/35867_051933358676.jpg","Y","Unknown","Fairhill Farms","Fairhill Farms FRUIT COCKTAIL IN 100% JUICE"
"37456","075725114905","images/37456_075725114905.jpg","Y","Unknown","Fairhill Farms","Fairhill Farms FRUIT COCKTAIL IN HS 15.2"
"37458","075725115100","images/37458_075725115100.jpg","Y","Unknown","Fairhill Farms","Fairhill Farms SLICED PEACH HEAVY SYRUP 14.5"
"11632","000007102111","images/11632_000007102111.jpg","Y","Unknown","Fairhill Farms","Fairhill Farms SLICED PEACH HEAVY SYRUP 29OZ"
"37459","051933358713","images/37459_051933358713.jpg","Y","Unknown","Fairhill Farms","Fairhill Farms SLICED PEACHES IN JUICE 14.5"
"36054","051933360549","images/36054_051933360549.jpg","Y","Unknown","Fairhill Farms","Fairhill Farms SLICED PEARS IN JUICE"
"20631","074584062013","images/20631_074584062013.jpg","Y","Unknown","","LIBBY'S CHUNK PINEAPPLE"
"20632","074584062020","images/20632_074584062020.jpg","Y","Unknown","","LIBBY'S CRUSHED PINEAPPLE"
"93223","074584062129","images/93223_074584062129.png","Y","Unknown","","LIBBY'S CRUSHED PINEAPPLE"
"30789","074584075204","images/30789_074584075204.jpg","Y","Unknown","","LIBBY'S MANDARIN ORANGE LIGHT SYRUP"
"93222","074584062136","images/93222_074584062136.jpg","Y","Unknown","","LIBBY'S PINEAPPLE TIDBITS"
"20633","074584062006","images/20633_074584062006.jpg","Y","Unknown","","LIBBY'S SLICED PINEAPPLE"
"20634","074584400204","images/20634_074584400204.jpg","Y","Unknown","","LIBBY'S TROPICAL FRUIT SALAD"
"34202","051933342026","images/34202_051933342026.jpg","Y","Unknown","Fairhill Farms","Fairhill Farms APPLESAUCE 24 OZ"
"34206","051933342064","images/34206_051933342064.jpg","Y","Unknown","Fairhill Farms","Fairhill Farms CINNAMON APPLESAUCE 24 OZ"
"37470","051933374706","images/37470_051933374706.jpg","Y","Unknown","Fairhill Farms","Fairhill Farms SWEETENED APPLESAUCE"
"34204","051933342040","images/34204_051933342040.jpg","Y","Unknown","Fairhill Farms","Fairhill Farms UNSWEETENED APPLESAUCE 23 OZ"
"95541","000000008911","images/95541_000000008911.jpg","Y","Unknown","","GOGO APLESCE APPLE APPLE12CT"
"51472","000000008911","images/51472_000000008911.jpg","Y","Unknown","","GOGO APLSCE APPLE APPLE 4CT"
"51486","000000008911","images/51486_000000008911.jpg","Y","Unknown","","GOGO APPLE STRWBRRY 4CT"
"95661","000008488611","images/95661_000008488611.jpg","Y","Unknown","","GOGO STRA-BAN VP YGRT 10 CT"
"95601","000084042611","images/95601_000084042611.jpg","Y","Unknown","","GOGO STRAWBERRY YOGURTZ 4 CT"
"95551","000008488611","images/95551_000008488611.jpg","Y","Unknown","","GOGO VAR PK APPLESAUCE 12CT"
"37528","051933660137","images/37528_051933660137.jpg","Y","Unknown","Fairhill Farms","Fairhill Farms CINNAMON APPLESAUCE 6 PK"
"92569","074584645087","images/92569_074584645087.png","Y","Unknown","","LIBBY DICE PEACH/GEL 4PK CUP"
"92568","074584645063","images/92568_074584645063.png","Y","Unknown","","LIBBY DICED PEACHES 4PK CUP"
"92566","074584645049","images/92566_074584645049.png","Y","Unknown","","LIBBY MANDARIN ORANG 4PK CUP"
"92567","074584645056","images/92567_074584645056.png","Y","Unknown","","LIBBY PINAPLE TIDBIT 4PK CUP"
"10010","075725100106","images/10010_075725100106.jpg","Y","Unknown","Fairhill Farms","Fairhill Farms CREAM STYLE CORN"
"16080","075725160803","images/16080_075725160803.jpg","Y","Unknown","Fairhill Farms","Fairhill Farms CUT GREEN BEANS"
"10000","075725100007","images/10000_075725100007.jpg","Y","Unknown","Fairhill Farms","Fairhill Farms FRENCH GREEN BEANS"
"60648","051933606487","images/60648_051933606487.jpg","Y","Unknown","Fairhill Farms","Fairhill Farms ITALIAN GREEN BEANS"
"10130","075725518024","images/10130_075725518024.jpg","Y","Unknown","Fairhill Farms","Fairhill Farms MIXED VEGETABLES"
"10230","000006333411","images/10230_000006333411.jpg","Y","Unknown","Fairhill Farms","Fairhill Farms MUSHROOMS P & S"
"30330","075725303309","images/30330_075725303309.jpg","Y","Unknown","Fairhill Farms","Fairhill Farms NO SALT CUT GREEN BEANS"
"30350","075725818018","images/30350_075725818018.jpg","Y","Unknown","Fairhill Farms","Fairhill Farms NO SALT MIXED VEGETABLES"
"30320","075725515115","images/30320_075725515115.jpg","Y","Unknown","Fairhill Farms","Fairhill Farms NO SALT SWEET PEAS"
"16920","075725169202","images/16920_075725169202.jpg","Y","Unknown","Fairhill Farms","Fairhill Farms NO SALT WHOLE KERNEL CORN"
"10140","075725516013","images/10140_075725516013.jpg","Y","Unknown","Fairhill Farms","Fairhill Farms SAUERKRAUT SHREDDED"
"10110","075725101103","images/10110_075725101103.jpg","Y","Unknown","Fairhill Farms","Fairhill Farms SLICED BEETS"
"10120","075725101202","images/10120_075725101202.jpg","Y","Unknown","Fairhill Farms","Fairhill Farms SLICED CARROTS"
"10260","075725102605","images/10260_075725102605.jpg","Y","Unknown","Fairhill Farms","Fairhill Farms SLICED POTATOES"
"10180","075725515511","images/10180_075725515511.jpg","Y","Unknown","Fairhill Farms","Fairhill Farms SMALL WHOLE POTATOES"
"16090","075725160902","images/16090_075725160902.jpg","Y","Unknown","Fairhill Farms","Fairhill Farms SUPER SWEET WHOLE KERNL CORN"
"10270","075725102704","images/10270_075725102704.jpg","Y","Unknown","Fairhill Farms","Fairhill Farms SWEET PEAS"
"33329","051933333291","images/33329_051933333291.jpg","Y","Unknown","Senora Verde","Senora Verde CORN & PEPPERS"
"10170","075725515610","images/10170_075725515610.jpg","Y","Unknown","Fairhill Farms","Fairhill Farms CUT SWEET POTATOES"
"15710","075725157100","images/15710_075725157100.jpg","Y","Unknown","Fairhill Farms","Fairhill Farms GREEN & SHELLED BEANS"
"39946","","images/39946_NOUPC.jpg","Y","Unknown","Fairhill Farms","Fairhill Farms PICKWELL WHITE HOMINY"
"10100","075725514965","images/10100_075725514965.jpg","Y","Unknown","Wylwood","Wylwood BLACKEYE PEAS"
"33613","051933336131","images/33613_051933336131.jpg","Y","Unknown","Wylwood","Wylwood BLACKEYE PEAS"
"10160","075725514613","images/10160_075725514613.jpg","Y","Unknown","Wylwood","Wylwood WHITE HOMINY"
"15766","000073639311","images/15766_000073639311.jpg","Y","Unknown","","GLORY SEASND COLLARD GREENS"
"15764","000073639311","images/15764_000073639311.png","Y","Unknown","","GLORY SEASONED TURNIP GREENS"
"4471","041443102111","images/4471_041443102111.jpg","Y","Unknown","","MARGARET HOLMES CHOPPED COLLARD GREENS"
"4468","041443102319","images/4468_041443102319.jpg","Y","Unknown","","MARGARET HOLMES CHOPPED MUSTARD GREENS"
"4472","041443102418","images/4472_041443102418.jpg","Y","Unknown","","MARGARET HOLMES CHOPPED SPINACH"
"4473","041443102517","images/4473_041443102517.png","Y","Unknown","","MARGARET HOLMES CHOPPED TURNIP GREENS"
"42165","041443033033","images/42165_041443033033.jpg","Y","Unknown","","MARGARET HOLMES SEASND BLACKEYE PEAS"
"41885","041443118433","images/41885_041443118433.png","Y","Unknown","","MARGARET HOLMES SEASND CABBAGE"
"41205","041443023232","images/41205_041443023232.jpg","Y","Unknown","","MARGARET HOLMES SEASND FIELD PEAS & SNAPS"
"42105","041443113346","images/42105_041443113346.jpg","Y","Unknown","","MARGARET HOLMES SEASND GRN BEAN & POTATO"
"42155","041443112745","images/42155_041443112745.png","Y","Unknown","","MARGARET HOLMES SEASND MIXED GREENS"
"39285","041443112349","images/39285_041443112349.jpg","Y","Unknown","","MARGARET HOLMES SEASND MUSTARD GREENS"
"64758","051933647589","images/64758_051933647589.jpg","Y","Unknown","Fairhill Farms","Fairhill Farms GREEN LIMA BEANS"
"30650","000051933311","images/30650_000051933311.jpg","Y","Unknown","Senora Verde","Senora Verde REFRIED BEANS"
"10450","051933104501","images/10450_051933104501.jpg","Y","Unknown","Wylwood","Wylwood BLACK BEANS"
"33617","051933336179","images/33617_051933336179.jpg","Y","Unknown","Wylwood","Wylwood BLACK BEANS"
"10030","075725512619","images/10030_075725512619.jpg","Y","Unknown","Wylwood","Wylwood BUTTER BEANS"
"10040","075725511940","images/10040_075725511940.jpg","Y","Unknown","Wylwood","Wylwood CHILI BEANS"
"33614","051933336148","images/33614_051933336148.jpg","Y","Unknown","Wylwood","Wylwood DARK RED KIDNEY BEANS"
"43385","051933433854","images/43385_051933433854.jpg","Y","Unknown","Wylwood","Wylwood GARBANZO BEANS (CHICK PEAS)"
"10080","075725512718","images/10080_075725512718.jpg","Y","Unknown","Wylwood","Wylwood GREAT NORTHERN BEANS"
"10060","075725512022","images/10060_075725512022.jpg","Y","Unknown","Wylwood","Wylwood LIGHT KIDNEY BEANS"
"33616","051933336162","images/33616_051933336162.jpg","Y","Unknown","Wylwood","Wylwood LIGHT RED KIDNEY BEANS"
"10070","075725512817","images/10070_075725512817.jpg","Y","Unknown","Wylwood","Wylwood PINTO BEANS"
"17478","039400018803","images/17478_039400018803.jpg","Y","Unknown","","BUSH'S BEST BLACK BEANS"
"95291","039400016731","images/95291_039400016731.jpg","Y","Unknown","","BUSH'S BUTTER BEANS"
"95289","039400017004","images/95289_039400017004.jpg","Y","Unknown","","BUSH'S CHICK PEAS"
"38425","039400018100","images/38425_039400018100.jpg","Y","Unknown","","BUSH'S PINTO BEANS"
"54222","000088439511","images/54222_000088439511.jpg","Y","Unknown","","LUCK'S PINTO BEANS W/PRK"
"32895","075725328951","images/32895_075725328951.jpg","Y","Unknown","Fairhill Farms","Fairhill Farms NO SALT TOMATO SAUCE"
"10210","075725517560","images/10210_075725517560.jpg","Y","Unknown","Fairhill Farms","Fairhill Farms TOMATO SAUCE"
"10240","075725102407","images/10240_075725102407.jpg","Y","Unknown","Fairhill Farms","Fairhill Farms TOMATO SAUCE"
"10220","075725517751","images/10220_075725517751.jpg","Y","Unknown","Fairhill Farms","Fairhill Farms TOMATO PASTE"
"10204","051933102040","images/10204_051933102040.jpg","Y","Unknown","Fairhill Farms","Fairhill Farms CRUSHED TOMATOES"
"10512","075725105125","images/10512_075725105125.jpg","Y","Unknown","Fairhill Farms","Fairhill Farms DICED TOM-BASIL/GRLC/OREG"
"10510","075725105101","images/10510_075725105101.jpg","Y","Unknown","Fairhill Farms","Fairhill Farms DICED TOMATOES"
"32885","075725328852","images/32885_075725328852.jpg","Y","Unknown","Fairhill Farms","Fairhill Farms NO SALT DICED TOMATOES"
"10514","051933105140","images/10514_051933105140.jpg","Y","Unknown","Fairhill Farms","Fairhill Farms PETITE DICED TOMATOES"
"16270","075725517041","images/16270_075725517041.jpg","Y","Unknown","Fairhill Farms","Fairhill Farms SLICED STEWED TOMATOES"
"10200","075725517133","images/10200_075725517133.jpg","Y","Unknown","Fairhill Farms","Fairhill Farms WHOLE PEELED TOMATOES"
